code,tên bệnh VI,tên bệnh EN,synonym
A18.4,Lao da và mô dưới da,Tuberculosis of skin and subcutaneous tissue,lao cac co quan khac | lao các cơ quan khác | lao da va mo duoi da
A18.5,Lao ở mắt,Tuberculosis of eye,lao cac co quan khac | lao các cơ quan khác | lao o mat
A18.6,Lao ở tai,Tuberculosis of ear,lao cac co quan khac | lao các cơ quan khác | lao o tai
A18.7†,Lao tuyến thượng thận (E35.1*),Tuberculosis of adrenal glands (E35.1*),lao cac co quan khac | lao các cơ quan khác | lao tuyen thuong than (e35.1*)
A18.8,Lao các cơ quan khác,Tuberculosis of other specified organs,lao cac co quan khac | lao các cơ quan khác
A19,Lao kê,Miliary tuberculosis,lao ke
A19.0,Lao kê cấp của một vị trí xác định,Acute miliary tuberculosis of a single specified site,lao ke | lao ke cap cua mot vi tri xac dinh | lao kê
A19.1,Lao kê cấp của nhiều vị trí,Acute miliary tuberculosis of multiple sites,lao ke | lao ke cap cua nhieu vi tri | lao kê
A19.2,"Lao kê cấp, không xác định","Acute miliary tuberculosis, unspecified","lao ke | lao ke cap, khong xac dinh | lao kê"
A19.8,Lao kê khác,Other miliary tuberculosis,lao ke | lao ke khac | lao kê
A19.9,"Lao kê, không xác định","Miliary tuberculosis, unspecified","lao ke | lao ke, khong xac dinh | lao kê"
A20,Dịch hạch,Plague,dich hach
A20.0,Dịch hạch thể hạch,Bubonic plague,dich hach | dich hach the hach | dịch hạch
A20.1,Dịch hạch thể viêm da mô mềm,Cellulocutaneous plague,dich hach | dich hach the viem da mo mem | dịch hạch
A20.2,Dịch hạch thể phổi,Pneumonic plague,dich hach | dich hach the phoi | dịch hạch
A20.3,Dịch hạch thể viêm màng não,Plague meningitis,dich hach | dich hach the viem mang nao | dịch hạch
A20.7,Dịch hạch thể nhiễm trùng huyết,Septicaemic plague,dich hach | dich hach the nhiem trung huyet | dịch hạch
A20.8,Dịch hạch thể khác,Other forms of plague,dich hach | dich hach the khac | dịch hạch
A20.9,Dịch hạch không xác định,"Plague, unspecified",dich hach | dich hach khong xac dinh | dịch hạch
A21,Bệnh Tularensis,Tularaemia,benh tularensis | tularensis
A21.0,Loét hạch do tularaemia,Ulceroglandular tularaemia,benh tularensis | bệnh tularensis | loet hach do tularaemia | tularensis
A21.1,Bệnh tularaemia hạch ở mắt,Oculoglandular tularaemia,benh tularaemia hach o mat | benh tularensis | bệnh tularensis | tularaemia hach o mat | tularaemia hạch ở mắt | tularensis
A21.2,Bệnh tularaemia thể phổi,Pulmonary tularaemia,benh tularaemia the phoi | benh tularensis | bệnh tularensis | tularaemia the phoi | tularaemia thể phổi | tularensis
A21.3,Bệnh tularaemia thể dạ dày ruột,Gastrointestinal tularaemia,benh tularaemia the da day ruot | benh tularensis | bệnh tularensis | tularaemia the da day ruot | tularaemia thể dạ dày ruột | tularensis
A21.7,Bệnh tularaemia toàn thân,Generalized tularaemia,benh tularaemia toan than | benh tularensis | bệnh tularensis | tularaemia toan than | tularaemia toàn thân | tularensis
A21.8,Bệnh tularaemia các thể khác,Other forms of tularaemia,benh tularaemia cac the khac | benh tularensis | bệnh tularensis | tularaemia cac the khac | tularaemia các thể khác | tularensis
A21.9,Bệnh tularaemia không xác định,"Tularaemia, unspecified",benh tularaemia khong xac dinh | benh tularensis | bệnh tularensis | tularaemia khong xac dinh | tularaemia không xác định | tularensis
A22,Bệnh than,Anthrax,benh than | than
A22.0,Bệnh than thể da,Cutaneous anthrax,benh than | benh than the da | bệnh than | than | than the da | than thể da
A22.1,Bệnh than thể phổi,Pulmonary anthrax,benh than | benh than the phoi | bệnh than | than | than the phoi | than thể phổi
A22.2,Bệnh than thể dạ dày ruột,Gastrointestinal anthrax,benh than | benh than the da day ruot | bệnh than | than | than the da day ruot | than thể dạ dày ruột
